timestamp	value
2025-09-10 14:26:16	1418611
2025-09-10 14:26:16	1418050
2025-09-10 14:26:16	1417565
2025-09-10 14:26:16	1417180
2025-09-10 14:26:16	1416675
2025-09-10 14:26:16	1416358
2025-09-10 14:26:16	1416105
2025-09-10 14:26:16	1415814
2025-09-10 14:26:17	1415696
2025-09-10 14:26:17	1415655
2025-09-10 14:26:17	1415653
2025-09-10 14:26:17	1415565
2025-09-10 14:26:17	1415664
2025-09-10 14:26:17	1415507
2025-09-10 14:26:17	1415522
2025-09-10 14:26:17	1415598
2025-09-10 14:26:17	1415558
2025-09-10 14:26:17	1415554
2025-09-10 14:26:17	1415604
2025-09-10 14:26:17	1415584
2025-09-10 14:26:17	1415624
2025-09-10 14:26:17	1415556
2025-09-10 14:26:17	1415534
2025-09-10 14:26:17	1415545
2025-09-10 14:26:17	1415726
2025-09-10 14:26:17	1415621
2025-09-10 14:26:17	1415766
2025-09-10 14:26:17	1415782
2025-09-10 14:26:17	1415914
2025-09-10 14:26:17	1415952
2025-09-10 14:26:17	1416095
2025-09-10 14:26:17	1416185
2025-09-10 14:26:17	1416065
2025-09-10 14:26:17	1416160
2025-09-10 14:26:17	1416130
2025-09-10 14:26:17	1416167
2025-09-10 14:26:17	1416130
2025-09-10 14:26:17	1416226
2025-09-10 14:26:17	1416232
2025-09-10 14:26:17	1416231
2025-09-10 14:26:17	1416255
2025-09-10 14:26:17	1416295
2025-09-10 14:26:17	1416384
2025-09-10 14:26:17	1416406
2025-09-10 14:26:17	1416476
2025-09-10 14:26:17	1416519
2025-09-10 14:26:17	1416668
2025-09-10 14:26:17	1416717
2025-09-10 14:26:17	1416780
2025-09-10 14:26:17	1416847
2025-09-10 14:26:17	1416942
2025-09-10 14:26:17	1417070
2025-09-10 14:26:17	1417167
2025-09-10 14:26:17	1417331
2025-09-10 14:26:17	1417407
2025-09-10 14:26:17	1417577
2025-09-10 14:26:17	1417496
2025-09-10 14:26:17	1417633
2025-09-10 14:26:17	1417816
2025-09-10 14:26:17	1417834
2025-09-10 14:26:17	1417917
2025-09-10 14:26:17	1418136
2025-09-10 14:26:17	1418205
2025-09-10 14:26:17	1418359
2025-09-10 14:26:17	1418446
2025-09-10 14:26:17	1418588
2025-09-10 14:26:17	1418554
2025-09-10 14:26:17	1418730
2025-09-10 14:26:17	1418882
2025-09-10 14:26:17	1418918
2025-09-10 14:26:17	1419053
2025-09-10 14:26:17	1419204
2025-09-10 14:26:17	1419247
2025-09-10 14:26:17	1419203
2025-09-10 14:26:17	1418901
2025-09-10 14:26:17	1418544
2025-09-10 14:26:17	1418148
2025-09-10 14:26:17	1417592
2025-09-10 14:26:17	1417156
2025-09-10 14:26:17	1416777
2025-09-10 14:26:17	1416433
2025-09-10 14:26:17	1416239
2025-09-10 14:26:17	1415898
2025-09-10 14:26:17	1415819
2025-09-10 14:26:17	1415666
2025-09-10 14:26:17	1415732
2025-09-10 14:26:17	1415741
